Number, Name, HP, Attack, Defence, SpecialAttack, SpecialDefence, Speed
662: Fletchinder, 62,73, 55,55,56,52,84
661: Fletchling, 45,50, 43,43,40,38,62
660: Diggersby, 85,56, 77,77,50,77,78
659: Bunnelby, 38,36, 38,38,32,36,57
658: Greninja, 72,95, 67,67,103,71,122
657: Frogadier, 54,63, 52,52,83,56,97
656: Froakie, 41,56, 40,40,62,44,71
655: Delphox, 75,69, 72,72,114,100,104
654: Braixen, 59,59, 58,58,90,70,73
653: Fennekin, 40,45, 40,40,62,60,60
652: Chesnaught, 88,107, 122,122,74,75,64
651: Quilladin, 61,78, 95,95,56,58,57
650: Chespin, 56,61, 65,65,48,45,38
649: Genesect, 71,120, 95,95,120,95,99
648: MeloettaPirouette Forme, 100,128, 90,90,77,77,128
648: MeloettaAria Forme, 100,77, 77,77,128,128,90
647: KeldeoResolute Forme, 91,72, 90,90,129,90,108
647: KeldeoOrdinary Forme, 91,72, 90,90,129,90,108
646: KyuremWhite Kyurem, 125,120, 90,90,170,100,95
646: KyuremBlack Kyurem, 125,170, 100,100,120,90,95
646: Kyurem, 125,130, 90,90,130,90,95
645: LandorusTherian Forme, 89,145, 90,90,105,80,91
645: LandorusIncarnate Forme, 89,125, 90,90,115,80,101
644: Zekrom, 100,150, 120,120,120,100,90
643: Reshiram, 100,120, 100,100,150,120,90
642: ThundurusTherian Forme, 79,105, 70,70,145,80,101
642: ThundurusIncarnate Forme, 79,115, 70,70,125,80,111
641: TornadusTherian Forme, 79,100, 80,80,110,90,121
641: TornadusIncarnate Forme, 79,115, 70,70,125,80,111
640: Virizion, 91,90, 72,72,90,129,108
639: Terrakion, 91,129, 90,90,72,90,108
638: Cobalion, 91,90, 129,129,90,72,108
637: Volcarona, 85,60, 65,65,135,105,100
636: Larvesta, 55,85, 55,55,50,55,60
635: Hydreigon, 92,105, 90,90,125,90,98
634: Zweilous, 72,85, 70,70,65,70,58
633: Deino, 52,65, 50,50,45,50,38
632: Durant, 58,109, 112,112,48,48,109
631: Heatmor, 85,97, 66,66,105,66,65
630: Mandibuzz, 110,65, 105,105,55,95,80
629: Vullaby, 70,55, 75,75,45,65,60
628: Braviary, 100,123, 75,75,57,75,80
627: Rufflet, 70,83, 50,50,37,50,60
626: Bouffalant, 95,110, 95,95,40,95,55
625: Bisharp, 65,125, 100,100,60,70,70
624: Pawniard, 45,85, 70,70,40,40,60
623: Golurk, 89,124, 80,80,55,80,55
622: Golett, 59,74, 50,50,35,50,35
621: Druddigon, 77,120, 90,90,60,90,48
620: Mienshao, 65,125, 60,60,95,60,105
619: Mienfoo, 45,85, 50,50,55,50,65
618: Stunfisk, 109,66, 84,84,81,99,32
617: Accelgor, 80,70, 40,40,100,60,145
616: Shelmet, 50,40, 85,85,40,65,25
615: Cryogonal, 70,50, 30,30,95,135,105
614: Beartic, 95,110, 80,80,70,80,50
613: Cubchoo, 55,70, 40,40,60,40,40
612: Haxorus, 76,147, 90,90,60,70,97
611: Fraxure, 66,117, 70,70,40,50,67
610: Axew, 46,87, 60,60,30,40,57
609: Chandelure, 60,55, 90,90,145,90,80
608: Lampent, 60,40, 60,60,95,60,55
607: Litwick, 50,30, 55,55,65,55,20
606: Beheeyem, 75,75, 75,75,125,95,40
605: Elgyem, 55,55, 55,55,85,55,30
604: Eelektross, 85,115, 80,80,105,80,50
603: Eelektrik, 65,85, 70,70,75,70,40
602: Tynamo, 35,55, 40,40,45,40,60
601: Klinklang, 60,100, 115,115,70,85,90
600: Klang, 60,80, 95,95,70,85,50
599: Klink, 40,55, 70,70,45,60,30
598: Ferrothorn, 74,94, 131,131,54,116,20
597: Ferroseed, 44,50, 91,91,24,86,10
596: Galvantula, 70,77, 60,60,97,60,108
595: Joltik, 50,47, 50,50,57,50,65
594: Alomomola, 165,75, 80,80,40,45,65
593: Jellicent, 100,60, 70,70,85,105,60
592: Frillish, 55,40, 50,50,65,85,40
591: Amoonguss, 114,85, 70,70,85,80,30
590: Foongus, 69,55, 45,45,55,55,15
589: Escavalier, 70,135, 105,105,60,105,20
588: Karrablast, 50,75, 45,45,40,45,60
587: Emolga, 55,75, 60,60,75,60,103
586: Sawsbuck, 80,100, 70,70,60,70,95
585: Deerling, 60,60, 50,50,40,50,75
584: Vanilluxe, 71,95, 85,85,110,95,79
583: Vanillish, 51,65, 65,65,80,75,59
582: Vanillite, 36,50, 50,50,65,60,44
581: Swanna, 75,87, 63,63,87,63,98
580: Ducklett, 62,44, 50,50,44,50,55
579: Reuniclus, 110,65, 75,75,125,85,30
578: Duosion, 65,40, 50,50,125,60,30
577: Solosis, 45,30, 40,40,105,50,20
576: Gothitelle, 70,55, 95,95,95,110,65
575: Gothorita, 60,45, 70,70,75,85,55
574: Gothita, 45,30, 50,50,55,65,45
573: Cinccino, 75,95, 60,60,65,60,115
572: Minccino, 55,50, 40,40,40,40,75
571: Zoroark, 60,105, 60,60,120,60,105
570: Zorua, 40,65, 40,40,80,40,65
569: Garbodor, 80,95, 82,82,60,82,75
568: Trubbish, 50,50, 62,62,40,62,65
567: Archeops, 75,140, 65,65,112,65,110
566: Archen, 55,112, 45,45,74,45,70
565: Carracosta, 74,108, 133,133,83,65,32
564: Tirtouga, 54,78, 103,103,53,45,22
563: Cofagrigus, 58,50, 145,145,95,105,30
562: Yamask, 38,30, 85,85,55,65,30
561: Sigilyph, 72,58, 80,80,103,80,97
560: Scrafty, 65,90, 115,115,45,115,58
559: Scraggy, 50,75, 70,70,35,70,48
558: Crustle, 70,95, 125,125,65,75,45
557: Dwebble, 50,65, 85,85,35,35,55
556: Maractus, 75,86, 67,67,106,67,60
555: DarmanitanZen Mode, 105,30, 105,105,140,105,55
555: DarmanitanStandard Mode, 105,140, 55,55,30,55,95
554: Darumaka, 70,90, 45,45,15,45,50
553: Krookodile, 95,117, 80,80,65,70,92
552: Krokorok, 60,82, 45,45,45,45,74
551: Sandile, 50,72, 35,35,35,35,65
550: Basculin, 70,92, 65,65,80,55,98
549: Lilligant, 70,60, 75,75,110,75,90
548: Petilil, 45,35, 50,50,70,50,30
547: Whimsicott, 60,67, 85,85,77,75,116
546: Cottonee, 40,27, 60,60,37,50,66
545: Scolipede, 60,100, 89,89,55,69,112
544: Whirlipede, 40,55, 99,99,40,79,47
543: Venipede, 30,45, 59,59,30,39,57
542: Leavanny, 75,103, 80,80,70,80,92
541: Swadloon, 55,63, 90,90,50,80,42
540: Sewaddle, 45,53, 70,70,40,60,42
539: Sawk, 75,125, 75,75,30,75,85
538: Throh, 120,100, 85,85,30,85,45
537: Seismitoad, 105,95, 75,75,85,75,74
536: Palpitoad, 75,65, 55,55,65,55,69
535: Tympole, 50,50, 40,40,50,40,64
534: Conkeldurr, 105,140, 95,95,55,65,45
533: Gurdurr, 85,105, 85,85,40,50,40
532: Timburr, 75,80, 55,55,25,35,35
531: AudinoMega Audino, 103,60, 126,126,80,126,50
531: Audino, 103,60, 86,86,60,86,50
530: Excadrill, 110,135, 60,60,50,65,88
529: Drilbur, 60,85, 40,40,30,45,68
528: Swoobat, 67,57, 55,55,77,55,114
527: Woobat, 55,45, 43,43,55,43,72
526: Gigalith, 85,135, 130,130,60,80,25
525: Boldore, 70,105, 105,105,50,40,20
524: Roggenrola, 55,75, 85,85,25,25,15
523: Zebstrika, 75,100, 63,63,80,63,116
522: Blitzle, 45,60, 32,32,50,32,76
521: Unfezant, 80,115, 80,80,65,55,93
520: Tranquill, 62,77, 62,62,50,42,65
519: Pidove, 50,55, 50,50,36,30,43
518: Musharna, 116,55, 85,85,107,95,29
517: Munna, 76,25, 45,45,67,55,24
516: Simipour, 75,98, 63,63,98,63,101
515: Panpour, 50,53, 48,48,53,48,64
514: Simisear, 75,98, 63,63,98,63,101
513: Pansear, 50,53, 48,48,53,48,64
512: Simisage, 75,98, 63,63,98,63,101
511: Pansage, 50,53, 48,48,53,48,64
510: Liepard, 64,88, 50,50,88,50,106
509: Purrloin, 41,50, 37,37,50,37,66
508: Stoutland, 85,110, 90,90,45,90,80
507: Herdier, 65,80, 65,65,35,65,60
506: Lillipup, 45,60, 45,45,25,45,55
505: Watchog, 60,85, 69,69,60,69,77
504: Patrat, 45,55, 39,39,35,39,42
503: Samurott, 95,100, 85,85,108,70,70
502: Dewott, 75,75, 60,60,83,60,60
501: Oshawott, 55,55, 45,45,63,45,45
500: Emboar, 110,123, 65,65,100,65,65
499: Pignite, 90,93, 55,55,70,55,55
498: Tepig, 65,63, 45,45,45,45,45
497: Serperior, 75,75, 95,95,75,95,113
496: Servine, 60,60, 75,75,60,75,83
495: Snivy, 45,45, 55,55,45,55,63
494: Victini, 100,100, 100,100,100,100,100
493: Arceus, 120,120, 120,120,120,120,120
492: ShayminSky Forme, 100,103, 75,75,120,75,127
492: ShayminLand Forme, 100,100, 100,100,100,100,100
491: Darkrai, 70,90, 90,90,135,90,125
490: Manaphy, 100,100, 100,100,100,100,100
489: Phione, 80,80, 80,80,80,80,80
488: Cresselia, 120,70, 120,120,75,130,85
487: GiratinaOrigin Forme, 150,120, 100,100,120,100,90
487: GiratinaAltered Forme, 150,100, 120,120,100,120,90
486: Regigigas, 110,160, 110,110,80,110,100
485: Heatran, 91,90, 106,106,130,106,77
484: Palkia, 90,120, 100,100,150,120,100
483: Dialga, 100,120, 120,120,150,100,90
482: Azelf, 75,125, 70,70,125,70,115
481: Mesprit, 80,105, 105,105,105,105,80
480: Uxie, 75,75, 130,130,75,130,95
479: RotomMow Rotom, 50,65, 107,107,105,107,86
479: RotomFan Rotom, 50,65, 107,107,105,107,86
479: RotomFrost Rotom, 50,65, 107,107,105,107,86
479: RotomWash Rotom, 50,65, 107,107,105,107,86
479: RotomHeat Rotom, 50,65, 107,107,105,107,86
479: Rotom, 50,50, 77,77,95,77,91
478: Froslass, 70,80, 70,70,80,70,110
477: Dusknoir, 45,100, 135,135,65,135,45
476: Probopass, 60,55, 145,145,75,150,40
475: GalladeMega Gallade, 68,165, 95,95,65,115,110
475: Gallade, 68,125, 65,65,65,115,80
474: Porygon-Z, 85,80, 70,70,135,75,90
473: Mamoswine, 110,130, 80,80,70,60,80
472: Gliscor, 75,95, 125,125,45,75,95
471: Glaceon, 65,60, 110,110,130,95,65
470: Leafeon, 65,110, 130,130,60,65,95
469: Yanmega, 86,76, 86,86,116,56,95
468: Togekiss, 85,50, 95,95,120,115,80
467: Magmortar, 75,95, 67,67,125,95,83
466: Electivire, 75,123, 67,67,95,85,95
465: Tangrowth, 100,100, 125,125,110,50,50
464: Rhyperior, 115,140, 130,130,55,55,40
463: Lickilicky, 110,85, 95,95,80,95,50
462: Magnezone, 70,70, 115,115,130,90,60
461: Weavile, 70,120, 65,65,45,85,125
460: AbomasnowMega Abomasnow, 90,132, 105,105,132,105,30
460: Abomasnow, 90,92, 75,75,92,85,60
459: Snover, 60,62, 50,50,62,60,40
458: Mantyke, 45,20, 50,50,60,120,50
457: Lumineon, 69,69, 76,76,69,86,91
456: Finneon, 49,49, 56,56,49,61,66
455: Carnivine, 74,100, 72,72,90,72,46
454: Toxicroak, 83,106, 65,65,86,65,85
453: Croagunk, 48,61, 40,40,61,40,50
452: Drapion, 70,90, 110,110,60,75,95
451: Skorupi, 40,50, 90,90,30,55,65
450: Hippowdon, 108,112, 118,118,68,72,47
449: Hippopotas, 68,72, 78,78,38,42,32
448: LucarioMega Lucario, 70,145, 88,88,140,70,112
448: Lucario, 70,110, 70,70,115,70,90
447: Riolu, 40,70, 40,40,35,40,60
446: Munchlax, 135,85, 40,40,40,85,5
445: GarchompMega Garchomp, 108,170, 115,115,120,95,92
445: Garchomp, 108,130, 95,95,80,85,102
444: Gabite, 68,90, 65,65,50,55,82
443: Gible, 58,70, 45,45,40,45,42
442: Spiritomb, 50,92, 108,108,92,108,35
441: Chatot, 76,65, 45,45,92,42,91
440: Happiny, 100,5, 5,5,15,65,30
439: Mime Jr., 20,25, 45,45,70,90,60
438: Bonsly, 50,80, 95,95,10,45,10
437: Bronzong, 67,89, 116,116,79,116,33
436: Bronzor, 57,24, 86,86,24,86,23
435: Skuntank, 103,93, 67,67,71,61,84
434: Stunky, 63,63, 47,47,41,41,74
433: Chingling, 45,30, 50,50,65,50,45
432: Purugly, 71,82, 64,64,64,59,112
431: Glameow, 49,55, 42,42,42,37,85
430: Honchkrow, 100,125, 52,52,105,52,71
429: Mismagius, 60,60, 60,60,105,105,105
428: LopunnyMega Lopunny, 65,136, 94,94,54,96,135
428: Lopunny, 65,76, 84,84,54,96,105
427: Buneary, 55,66, 44,44,44,56,85
426: Drifblim, 150,80, 44,44,90,54,80
425: Drifloon, 90,50, 34,34,60,44,70
424: Ambipom, 75,100, 66,66,60,66,115
423: Gastrodon, 111,83, 68,68,92,82,39
422: Shellos, 76,48, 48,48,57,62,34
421: Cherrim, 70,60, 70,70,87,78,85
420: Cherubi, 45,35, 45,45,62,53,35
419: Floatzel, 85,105, 55,55,85,50,115
418: Buizel, 55,65, 35,35,60,30,85
417: Pachirisu, 60,45, 70,70,45,90,95
416: Vespiquen, 70,80, 102,102,80,102,40
415: Combee, 30,30, 42,42,30,42,70
414: Mothim, 70,94, 50,50,94,50,66
413: WormadamTrash Cloak, 60,69, 95,95,69,95,36
413: WormadamSandy Cloak, 60,79, 105,105,59,85,36
413: WormadamPlant Cloak, 60,59, 85,85,79,105,36
412: Burmy, 40,29, 45,45,29,45,36
411: Bastiodon, 60,52, 168,168,47,138,30
410: Shieldon, 30,42, 118,118,42,88,30
409: Rampardos, 97,165, 60,60,65,50,58
408: Cranidos, 67,125, 40,40,30,30,58
407: Roserade, 60,70, 65,65,125,105,90
406: Budew, 40,30, 35,35,50,70,55
405: Luxray, 80,120, 79,79,95,79,70
404: Luxio, 60,85, 49,49,60,49,60
403: Shinx, 45,65, 34,34,40,34,45
402: Kricketune, 77,85, 51,51,55,51,65
401: Kricketot, 37,25, 41,41,25,41,25
400: Bibarel, 79,85, 60,60,55,60,71
399: Bidoof, 59,45, 40,40,35,40,31
398: Staraptor, 85,120, 70,70,50,60,100
397: Staravia, 55,75, 50,50,40,40,80
396: Starly, 40,55, 30,30,30,30,60
395: Empoleon, 84,86, 88,88,111,101,60
394: Prinplup, 64,66, 68,68,81,76,50
393: Piplup, 53,51, 53,53,61,56,40
392: Infernape, 76,104, 71,71,104,71,108
391: Monferno, 64,78, 52,52,78,52,81
390: Chimchar, 44,58, 44,44,58,44,61
389: Torterra, 95,109, 105,105,75,85,56
388: Grotle, 75,89, 85,85,55,65,36
387: Turtwig, 55,68, 64,64,45,55,31
386: DeoxysSpeed Forme, 50,95, 90,90,95,90,180
386: DeoxysDefense Forme, 50,70, 160,160,70,160,90
386: DeoxysAttack Forme, 50,180, 20,20,180,20,150
386: DeoxysNormal Forme, 50,150, 50,50,150,50,150
385: Jirachi, 100,100, 100,100,100,100,100
384: RayquazaMega Rayquaza, 105,180, 100,100,180,100,115
384: Rayquaza, 105,150, 90,90,150,90,95
383: GroudonPrimal Groudon, 100,180, 160,160,150,90,90
383: Groudon, 100,150, 140,140,100,90,90
382: KyogrePrimal Kyogre, 100,150, 90,90,180,160,90
382: Kyogre, 100,100, 90,90,150,140,90
381: LatiosMega Latios, 80,130, 100,100,160,120,110
381: Latios, 80,90, 80,80,130,110,110
380: LatiasMega Latias, 80,100, 120,120,140,150,110
380: Latias, 80,80, 90,90,110,130,110
379: Registeel, 80,75, 150,150,75,150,50
378: Regice, 80,50, 100,100,100,200,50
377: Regirock, 80,100, 200,200,50,100,50
376: MetagrossMega Metagross, 80,145, 150,150,105,110,110
376: Metagross, 80,135, 130,130,95,90,70
375: Metang, 60,75, 100,100,55,80,50
374: Beldum, 40,55, 80,80,35,60,30
373: SalamenceMega Salamence, 95,145, 130,130,120,90,120
373: Salamence, 95,135, 80,80,110,80,100
372: Shelgon, 65,95, 100,100,60,50,50
371: Bagon, 45,75, 60,60,40,30,50
370: Luvdisc, 43,30, 55,55,40,65,97
369: Relicanth, 100,90, 130,130,45,65,55
368: Gorebyss, 55,84, 105,105,114,75,52
367: Huntail, 55,104, 105,105,94,75,52
366: Clamperl, 35,64, 85,85,74,55,32
365: Walrein, 110,80, 90,90,95,90,65
364: Sealeo, 90,60, 70,70,75,70,45
363: Spheal, 70,40, 50,50,55,50,25
362: GlalieMega Glalie, 80,120, 80,80,120,80,100
362: Glalie, 80,80, 80,80,80,80,80
361: Snorunt, 50,50, 50,50,50,50,50
360: Wynaut, 95,23, 48,48,23,48,23
359: AbsolMega Absol, 65,150, 60,60,115,60,115
359: Absol, 65,130, 60,60,75,60,75
358: Chimecho, 65,50, 70,70,95,80,65
357: Tropius, 99,68, 83,83,72,87,51
356: Dusclops, 40,70, 130,130,60,130,25
355: Duskull, 20,40, 90,90,30,90,25
354: BanetteMega Banette, 64,165, 75,75,93,83,75
354: Banette, 64,115, 65,65,83,63,65
353: Shuppet, 44,75, 35,35,63,33,45
352: Kecleon, 60,90, 70,70,60,120,40
351: Castform, 70,70, 70,70,70,70,70
350: Milotic, 95,60, 79,79,100,125,81
349: Feebas, 20,15, 20,20,10,55,80
348: Armaldo, 75,125, 100,100,70,80,45
347: Anorith, 45,95, 50,50,40,50,75
346: Cradily, 86,81, 97,97,81,107,43
345: Lileep, 66,41, 77,77,61,87,23
344: Claydol, 60,70, 105,105,70,120,75
343: Baltoy, 40,40, 55,55,40,70,55
342: Crawdaunt, 63,120, 85,85,90,55,55
341: Corphish, 43,80, 65,65,50,35,35
340: Whiscash, 110,78, 73,73,76,71,60
339: Barboach, 50,48, 43,43,46,41,60
338: Solrock, 70,95, 85,85,55,65,70
337: Lunatone, 70,55, 65,65,95,85,70
336: Seviper, 73,100, 60,60,100,60,65
335: Zangoose, 73,115, 60,60,60,60,90
334: AltariaMega Altaria, 75,110, 110,110,110,105,80
334: Altaria, 75,70, 90,90,70,105,80
333: Swablu, 45,40, 60,60,40,75,50
332: Cacturne, 70,115, 60,60,115,60,55
331: Cacnea, 50,85, 40,40,85,40,35
330: Flygon, 80,100, 80,80,80,80,100
329: Vibrava, 50,70, 50,50,50,50,70
328: Trapinch, 45,100, 45,45,45,45,10
327: Spinda, 60,60, 60,60,60,60,60
326: Grumpig, 80,45, 65,65,90,110,80
325: Spoink, 60,25, 35,35,70,80,60
324: Torkoal, 70,85, 140,140,85,70,20
323: CameruptMega Camerupt, 70,120, 100,100,145,105,20
323: Camerupt, 70,100, 70,70,105,75,40
322: Numel, 60,60, 40,40,65,45,35
321: Wailord, 170,90, 45,45,90,45,60
320: Wailmer, 130,70, 35,35,70,35,60
319: SharpedoMega Sharpedo, 70,140, 70,70,110,65,105
319: Sharpedo, 70,120, 40,40,95,40,95
318: Carvanha, 45,90, 20,20,65,20,65
317: Swalot, 100,73, 83,83,73,83,55
316: Gulpin, 70,43, 53,53,43,53,40
315: Roselia, 50,60, 45,45,100,80,65
314: Illumise, 65,47, 55,55,73,75,85
313: Volbeat, 65,73, 55,55,47,75,85
312: Minun, 60,40, 50,50,75,85,95
311: Plusle, 60,50, 40,40,85,75,95
310: ManectricMega Manectric, 70,75, 80,80,135,80,135
310: Manectric, 70,75, 60,60,105,60,105
309: Electrike, 40,45, 40,40,65,40,65
308: MedichamMega Medicham, 60,100, 85,85,80,85,100
308: Medicham, 60,60, 75,75,60,75,80
307: Meditite, 30,40, 55,55,40,55,60
306: AggronMega Aggron, 70,140, 230,230,60,80,50
306: Aggron, 70,110, 180,180,60,60,50
305: Lairon, 60,90, 140,140,50,50,40
304: Aron, 50,70, 100,100,40,40,30
303: MawileMega Mawile, 50,105, 125,125,55,95,50
303: Mawile, 50,85, 85,85,55,55,50
302: SableyeMega Sableye, 50,85, 125,125,85,115,20
302: Sableye, 50,75, 75,75,65,65,50
301: Delcatty, 70,65, 65,65,55,55,70
300: Skitty, 50,45, 45,45,35,35,50
299: Nosepass, 30,45, 135,135,45,90,30
298: Azurill, 50,20, 40,40,20,40,20
297: Hariyama, 144,120, 60,60,40,60,50
296: Makuhita, 72,60, 30,30,20,30,25
295: Exploud, 104,91, 63,63,91,73,68
294: Loudred, 84,71, 43,43,71,43,48
293: Whismur, 64,51, 23,23,51,23,28
292: Shedinja, 1,90, 45,45,30,30,40
291: Ninjask, 61,90, 45,45,50,50,160
290: Nincada, 31,45, 90,90,30,30,40
289: Slaking, 150,160, 100,100,95,65,100
288: Vigoroth, 80,80, 80,80,55,55,90
287: Slakoth, 60,60, 60,60,35,35,30
286: Breloom, 60,130, 80,80,60,60,70
285: Shroomish, 60,40, 60,60,40,60,35
284: Masquerain, 70,60, 62,62,80,82,60
283: Surskit, 40,30, 32,32,50,52,65
282: GardevoirMega Gardevoir, 68,85, 65,65,165,135,100
282: Gardevoir, 68,65, 65,65,125,115,80
281: Kirlia, 38,35, 35,35,65,55,50
280: Ralts, 28,25, 25,25,45,35,40
279: Pelipper, 60,50, 100,100,85,70,65
278: Wingull, 40,30, 30,30,55,30,85
277: Swellow, 60,85, 60,60,50,50,125
276: Taillow, 40,55, 30,30,30,30,85
275: Shiftry, 90,100, 60,60,90,60,80
274: Nuzleaf, 70,70, 40,40,60,40,60
273: Seedot, 40,40, 50,50,30,30,30
272: Ludicolo, 80,70, 70,70,90,100,70
271: Lombre, 60,50, 50,50,60,70,50
270: Lotad, 40,30, 30,30,40,50,30
269: Dustox, 60,50, 70,70,50,90,65
268: Cascoon, 50,35, 55,55,25,25,15
267: Beautifly, 60,70, 50,50,100,50,65
266: Silcoon, 50,35, 55,55,25,25,15
265: Wurmple, 45,45, 35,35,20,30,20
264: Linoone, 78,70, 61,61,50,61,100
263: Zigzagoon, 38,30, 41,41,30,41,60
262: Mightyena, 70,90, 70,70,60,60,70
261: Poochyena, 35,55, 35,35,30,30,35
260: SwampertMega Swampert, 100,150, 110,110,95,110,70
260: Swampert, 100,110, 90,90,85,90,60
259: Marshtomp, 70,85, 70,70,60,70,50
258: Mudkip, 50,70, 50,50,50,50,40
257: BlazikenMega Blaziken, 80,160, 80,80,130,80,100
257: Blaziken, 80,120, 70,70,110,70,80
256: Combusken, 60,85, 60,60,85,60,55
255: Torchic, 45,60, 40,40,70,50,45
254: SceptileMega Sceptile, 70,110, 75,75,145,85,145
254: Sceptile, 70,85, 65,65,105,85,120
253: Grovyle, 50,65, 45,45,85,65,95
252: Treecko, 40,45, 35,35,65,55,70
251: Celebi, 100,100, 100,100,100,100,100
250: Ho-oh, 106,130, 90,90,110,154,90
249: Lugia, 106,90, 130,130,90,154,110
248: TyranitarMega Tyranitar, 100,164, 150,150,95,120,71
248: Tyranitar, 100,134, 110,110,95,100,61
247: Pupitar, 70,84, 70,70,65,70,51
246: Larvitar, 50,64, 50,50,45,50,41
245: Suicune, 100,75, 115,115,90,115,85
244: Entei, 115,115, 85,85,90,75,100
243: Raikou, 90,85, 75,75,115,100,115
242: Blissey, 255,10, 10,10,75,135,55
241: Miltank, 95,80, 105,105,40,70,100
240: Magby, 45,75, 37,37,70,55,83
239: Elekid, 45,63, 37,37,65,55,95
238: Smoochum, 45,30, 15,15,85,65,65
237: Hitmontop, 50,95, 95,95,35,110,70
236: Tyrogue, 35,35, 35,35,35,35,35
235: Smeargle, 55,20, 35,35,20,45,75
234: Stantler, 73,95, 62,62,85,65,85
233: Porygon2, 85,80, 90,90,105,95,60
232: Donphan, 90,120, 120,120,60,60,50
231: Phanpy, 90,60, 60,60,40,40,40
230: Kingdra, 75,95, 95,95,95,95,85
229: HoundoomMega Houndoom, 75,90, 90,90,140,90,115
229: Houndoom, 75,90, 50,50,110,80,95
228: Houndour, 45,60, 30,30,80,50,65
227: Skarmory, 65,80, 140,140,40,70,70
226: Mantine, 65,40, 70,70,80,140,70
225: Delibird, 45,55, 45,45,65,45,75
224: Octillery, 75,105, 75,75,105,75,45
223: Remoraid, 35,65, 35,35,65,35,65
222: Corsola, 55,55, 85,85,65,85,35
221: Piloswine, 100,100, 80,80,60,60,50
220: Swinub, 50,50, 40,40,30,30,50
219: Magcargo, 50,50, 120,120,80,80,30
218: Slugma, 40,40, 40,40,70,40,20
217: Ursaring, 90,130, 75,75,75,75,55
216: Teddiursa, 60,80, 50,50,50,50,40
215: Sneasel, 55,95, 55,55,35,75,115
214: HeracrossMega Heracross, 80,185, 115,115,40,105,75
214: Heracross, 80,125, 75,75,40,95,85
